#{"t_start": 1742794612.7253919, "env_id": "None"}
r,l,t
670.144444,36,1.313834
869.914493,46,1.548886
1003.984848,44,1.778035
964.45,16,1.864053
687.888889,18,1.956073
1060.555556,45,2.212674
1050.666667,30,2.404549
919.487179,26,2.550629
1278.287879,55,2.858312
638.578947,19,2.958334
760.106897,29,3.110945
1121.873563,29,3.332692
1116.389474,38,3.557636
730.578947,19,3.65429
690.838095,14,3.725235
934.689474,38,3.935834
782.962963,54,4.220786
567.164486,107,4.766448
1370.103448,58,5.095504
631.222222,18,5.185459
636.714286,21,5.295268
587.378947,19,5.399397
813.261905,35,5.577693
873.420513,26,5.711975
806.866667,12,5.778652
827.636364,22,5.895208
1275.352941,51,6.171012
811.362745,34,6.361934
723.42381,42,6.587351
786.990909,33,6.768822
802.480952,21,6.886953
672.133333,12,6.95864
981.962745,34,7.148251
755.087075,49,7.421649
978.442276,41,7.704872
939.333333,30,7.905291
873.511828,31,8.096094
957.625,32,8.274167
938.928571,35,8.475261
789.133333,25,8.614506
977.424242,33,8.808064
877.50303,22,8.950889
981.952381,28,9.127887
664.388889,18,9.232853
1040.161905,35,9.424462
849.762319,23,9.562726
1277.062745,34,9.758475
973.362319,23,9.885997
724.933333,12,9.952658
1314.508943,41,10.178331
1031.353846,26,10.330125
762.416667,16,10.417543
650.166667,12,10.506451
745.0,40,10.726022
935.762319,23,10.852288
789.833333,15,10.940908
1044.433333,24,11.079015
772.904762,14,11.1591
669.622222,18,11.26677
729.569231,39,11.469724
883.528986,23,11.602915
728.173563,29,11.767668
716.971429,14,11.844415
676.883333,16,11.931754
771.469697,22,12.077561
767.4,12,12.147132
679.939394,11,12.205509
743.455556,18,12.30696
765.929167,64,12.652703
920.645614,19,12.763896
791.512281,19,12.871301
894.22549,17,12.96519
620.22549,17,13.075758
698.383333,16,13.167227
857.925926,27,13.309358
631.778947,19,13.422571
882.058824,17,13.534861
902.287179,26,13.683618
936.244444,36,13.874032
862.638095,14,13.957182
683.05,16,14.044263
1117.44023,29,14.213469
753.388889,18,14.311125
786.725,32,14.484657
829.0,25,14.627833
934.766667,25,14.765751
788.50303,22,14.886958
852.333333,25,15.041782
706.133333,20,15.14786
779.258824,17,15.24466
686.958824,17,15.348614
671.10303,22,15.468904
846.788889,18,15.574255
677.833333,25,15.713814
990.177778,36,15.918694
710.412281,19,16.032125
650.611111,9,16.084304
607.004762,14,16.158482
860.80303,22,16.282785
730.725926,27,16.431728
807.078495,31,16.621832
726.655556,18,16.724853
532.333333,12,16.78704
996.447619,21,16.909252
1013.478495,31,17.08947
730.322222,18,17.189651
721.3,12,17.259506
899.022222,18,17.360042
610.333333,15,17.448796
633.804762,14,17.525045
945.862745,34,17.721658
696.30303,22,17.839391
596.914286,21,17.965592
723.011828,31,18.175031
607.283333,16,18.267421
561.333333,15,18.349272
635.447619,21,18.465524
694.65,16,18.564389
675.714286,21,18.689211
672.866667,15,18.785242
774.880952,21,18.918822
1041.202564,39,19.155526
822.133333,20,19.28277
949.620513,26,19.441725
1082.553846,26,19.614129
622.416667,16,19.704903
684.366667,12,19.775868
989.8,30,19.948183
899.611828,31,20.125991
677.483333,16,20.212914
793.592593,27,20.366794
683.316667,16,20.460784
660.444444,9,20.508051
602.916667,16,20.601825
798.183333,16,20.694799
638.833333,24,20.826429
743.795652,23,20.954799
873.420513,26,21.12361
741.033333,24,21.264108
626.388889,18,21.374948
623.333333,24,21.511404
690.036364,22,21.631011
704.714286,21,21.74962
814.419048,28,21.904411
715.228986,23,22.02977
721.219048,28,22.185496
740.758824,17,22.27777
641.104762,14,22.356447
638.966667,20,22.466221
659.445614,19,22.569193
751.5,25,22.729887
841.747619,21,22.852795
585.578947,19,22.970809
652.174359,13,23.060261
584.555556,18,23.173287
561.583333,16,23.335532
838.133333,15,23.434231
738.162319,23,23.577283
688.2,15,23.668081
693.107692,13,23.747168
680.0,15,23.837826
827.620513,26,23.980711
859.45,16,24.096301
642.8,12,24.176913
842.833333,40,24.399815
1040.747619,21,24.524039
956.666667,25,24.673824
701.371429,14,24.748302
580.5,24,24.889781
635.666667,10,24.944684
772.566667,15,25.03388
684.980952,21,25.152778
665.139394,11,25.221148
723.277778,9,25.26811
623.038095,14,25.349066
736.666667,25,25.485978
742.133333,20,25.598029
678.604762,14,25.683386
553.838095,14,25.784024
975.558333,32,25.95942
667.953846,26,26.101907
716.583333,16,26.194363
1023.028986,23,26.323039
889.006897,29,26.48026
694.366667,10,26.537352
915.333333,15,26.626455
764.504762,14,26.708761
819.383333,16,26.799063
619.547619,21,26.914642
616.25,16,27.010689
733.638095,14,27.098999
666.80303,22,27.259148
688.016667,16,27.353279
745.139394,11,27.4143
645.738095,14,27.503298
695.666667,10,27.565532
864.333333,25,27.723487
820.041026,13,27.813785
556.404762,14,27.90212
836.25,16,28.006734
825.32549,17,28.110534
943.806897,29,28.288429
636.055556,18,28.389364
956.166667,25,28.53817
610.083333,16,28.636516
812.333333,15,28.733598
824.455556,18,28.871937
759.104762,14,28.959686
710.166667,8,29.004228
632.583333,16,29.105864
704.866667,12,29.180357
736.907692,13,29.260772
