#{"t_start": 1760355084.121781, "env_id": "None"}
r,l,t
1247.464228,24,1.277634
971.857451,32,1.526276
1302.415645,20,1.733006
652.928317,12,1.839123
529.428191,20,1.994158
695.905605,27,2.197127
870.251522,22,2.396172
746.497683,11,2.481724
856.022035,25,2.686966
1158.380621,51,3.087924
1100.265511,32,3.342121
1025.952597,31,3.573968
1234.297492,34,3.845746
696.564183,16,3.971878
849.406738,13,4.081903
929.777071,22,4.262944
1788.325162,50,4.662144
861.160014,10,4.761025
772.399678,12,4.860047
757.721195,19,5.004079
899.119336,23,5.182183
838.509719,13,5.293208
1137.173893,34,5.55636
837.318762,24,5.743402
561.113922,21,5.91629
827.192058,17,6.058904
1127.549166,35,6.34597
1000.945178,33,6.608622
1214.406145,39,6.938696
1243.077542,23,7.177485
712.771816,21,7.386769
776.220775,18,7.563122
814.862483,25,7.787171
687.921898,10,7.882193
892.353499,52,8.301347
1390.946005,40,8.632969
1197.569287,37,8.920033
876.947521,18,9.088072
698.942249,11,9.183093
828.491955,12,9.289118
637.287777,11,9.396494
355.943146,9,9.478685
1027.949009,26,9.691733
1104.380648,29,9.94579
849.005876,15,10.076861
713.935442,20,10.240711
1468.957532,54,10.693344
1142.271261,28,10.92214
669.615665,21,11.082176
936.802449,25,11.290223
1029.259198,21,11.476357
683.247548,19,11.636997
910.957124,29,11.890533
796.101147,12,11.998847
635.830711,15,12.129878
1064.172124,29,12.391026
814.295653,14,12.532184
872.120342,12,12.659212
618.780867,13,12.768236
760.725431,8,12.845433
1160.628796,31,13.125193
675.397863,24,13.315947
731.597269,19,13.48649
970.782457,26,13.69359
927.107613,30,13.930462
1396.930546,33,14.222162
744.632827,9,14.306182
758.72107,13,14.412298
827.123123,15,14.555866
739.738045,14,14.825315
684.510871,12,14.949374
546.940375,9,15.037289
1171.419626,26,15.254982
893.870269,14,15.388201
1107.653632,21,15.574669
879.708501,14,15.700852
671.097901,17,15.848603
794.983158,26,16.064475
1071.110335,31,16.32021
1083.122165,17,16.479192
824.50572,12,16.584843
926.850295,30,16.821977
770.337442,11,16.920646
898.5083,22,17.106312
1141.938912,28,17.366199
808.355251,12,17.473116
965.411756,25,17.702219
880.798798,15,17.85609
864.313274,36,18.156942
1053.910691,19,18.364641
668.747164,13,18.484373
867.791387,13,18.606903
959.790182,19,18.776319
470.11433,8,18.84971
898.732696,16,18.990007
609.509478,7,19.059702
1017.96639,20,19.236801
853.361909,14,19.352494
771.390614,29,19.596545
1039.223739,26,19.808326
1086.646289,41,20.136691
580.891862,11,20.228494
741.733893,17,20.369892
813.591355,18,20.524806
882.334587,45,20.883296
916.435365,16,21.014685
667.031441,12,21.108582
808.504999,13,21.231139
862.561598,12,21.339788
1304.770195,22,21.537851
655.761822,19,21.69872
1118.376862,24,21.925974
887.390847,23,22.114235
944.848196,15,22.245516
1031.697532,22,22.430833
830.632799,14,22.55707
1131.962349,31,22.851542
1477.583005,38,23.209885
709.603236,14,23.331202
583.439989,16,23.465998
557.992669,9,23.555153
1021.474248,18,23.731291
875.405579,14,23.861712
1501.041913,54,24.295766
796.13289,23,24.484159
704.575019,21,24.65527
937.568664,16,24.802704
777.437541,17,24.947658
850.263643,22,25.141632
929.78076,17,25.304556
856.573959,21,25.479801
1441.226303,48,25.856947
641.829884,11,25.953269
1186.442021,20,26.130522
792.259907,17,26.272493
822.574739,13,26.398412
920.058534,32,26.657669
1064.129349,19,26.814604
876.209555,25,27.022105
1006.033986,23,27.225115
719.174629,13,27.350849
916.633839,20,27.51372
773.856838,19,27.696554
1340.60218,28,27.933109
731.952007,23,28.147964
752.954146,14,28.267187
969.981731,23,28.474791
725.291114,10,28.570833
871.961033,26,28.816046
878.486044,25,29.036601
940.535297,21,29.208794
696.08516,16,29.346991
540.46517,11,29.460853
592.431492,9,29.557939
967.756888,17,29.711711
738.992288,12,29.816022
934.299133,24,30.030597
1489.259632,25,30.26052
1152.229196,25,30.473125
776.760011,14,30.600788
1547.999357,41,30.949553
773.621011,17,31.109226
837.665643,28,31.340781
1015.684198,34,31.619645
870.959084,21,31.810009
826.979097,12,31.929646
773.760224,23,32.109105
1027.311917,21,32.303677
771.568602,13,32.422648
1072.110932,24,32.634423
1595.471936,33,32.918575
916.228115,15,33.053867
615.265895,11,33.178375
1418.0944,28,33.451627
765.192402,18,33.616368
762.403717,13,33.730921
1219.508891,29,34.064909
521.990244,10,34.160195
1080.59716,28,34.425818
617.041109,8,34.501792
746.247293,12,34.633452
765.314268,13,34.757025
666.19276,16,34.888182
1046.791591,13,35.009895
799.42828,12,35.123377
1050.949106,17,35.277172
1120.861561,31,35.523254
802.211815,21,35.703796
951.592856,22,35.902565
757.719945,12,36.012508
949.802278,31,36.266872
1053.744312,22,36.467967
1084.860791,14,36.604287
792.04869,11,36.705994
731.602034,13,36.814551
1294.895759,42,37.168859
719.995203,9,37.25806
782.922832,22,37.432709
921.1123,22,37.624573
1063.12767,22,37.808876
745.982133,12,37.917463
926.267367,23,38.134061
922.874567,23,38.357855
1257.356078,45,38.739965
933.054078,21,38.926161
609.699178,12,39.023043
596.069986,11,39.124082
910.257632,12,39.248862
564.766886,9,39.329347
1197.888663,26,39.554997
1256.584812,31,39.837596
1015.856005,17,40.001225
946.60581,25,40.226928
840.939236,11,40.340329
608.977177,9,40.441443
1441.426947,44,40.81392
1196.651823,38,41.113779
770.936728,12,41.229456
777.883923,18,41.383065
863.90539,20,41.555043
1181.45045,24,41.774217
523.788759,10,41.861457
1158.072223,32,42.113905
720.474151,12,42.225456
892.670704,17,42.378062
863.242333,16,42.51265
1152.741942,24,42.733549
1031.522006,23,42.947877
667.900822,8,43.026868
875.471121,20,43.193514
1514.287313,30,43.472851
1257.267531,33,43.75881
945.840596,25,43.981533
1147.779746,27,44.210751
1325.777051,26,44.447973
788.384275,19,44.606584
913.994419,19,44.784935
1210.743094,31,45.046776
979.891882,19,45.216947
746.187778,16,45.345986
822.888011,18,45.494607
735.547276,23,45.70028
741.43501,13,45.824848
915.019475,24,46.027768
912.05803,14,46.152084
825.819274,17,46.302466
917.312898,13,46.422745
1066.972096,25,46.623632
710.980977,11,46.729572
967.758303,23,46.922456
1377.034815,31,47.203095
1245.255407,27,47.434924
795.551369,27,47.650571
1634.996565,43,48.022192
717.775958,9,48.107356
994.211249,19,48.273671
1079.69645,20,48.465958
1715.153944,49,48.888427
705.792674,9,48.967663
727.128333,16,49.103201
622.266661,16,49.241271
842.381788,21,49.412883
693.407479,11,49.538223
874.920377,21,49.708716
900.747543,18,49.864773
847.740577,19,50.033054
1004.855309,16,50.186965
779.454727,15,50.314272
872.251289,16,50.458569
1032.674815,17,50.607508
1112.622276,14,50.760476
1271.118845,19,50.954378
626.252304,14,51.073973
893.174409,16,51.214043
1248.571096,32,51.49062
769.507154,15,51.618879
1070.746671,32,51.865866
1286.810838,33,52.172609
1122.99089,25,52.38628
1082.164285,25,52.602825
912.655217,19,52.757258
692.679019,9,52.848798
922.547894,28,53.092068
983.858244,22,53.296426
699.905981,11,53.399987
548.544521,8,53.468235
864.900085,22,53.655799
1046.044642,24,53.901461
1135.293218,30,54.163087
1040.492861,15,54.308639
902.356161,20,54.471939
993.979572,19,54.638272
867.70821,22,54.822854
678.80269,14,54.943394
1022.014128,15,55.084695
722.231539,19,55.23824
747.278171,16,55.388231
521.381005,19,55.537159
1050.545252,15,55.678172
848.288224,20,55.84012
748.762437,13,55.959137
890.29009,13,56.085599
859.946751,14,56.217462
685.29333,14,56.351605
582.669159,6,56.403569
972.583261,26,56.62782
869.50277,14,56.752552
681.803448,13,56.871029
621.361019,9,56.951367
578.043542,10,57.048621
916.207241,19,57.21797
772.125912,21,57.38313
677.558869,19,57.5316
718.433723,17,57.680519
817.419187,20,57.875046
561.596405,9,57.955064
584.188364,11,58.056516
782.99106,21,58.228808
913.894978,22,58.426616
898.935007,18,58.58446
989.016708,19,58.754079
977.127906,18,58.945886
532.96824,10,59.046761
593.399465,9,59.124403
684.622253,14,59.252143
770.316296,13,59.371256
679.955791,11,59.466249
738.808769,16,59.598525
549.436785,11,59.693482
711.972899,16,59.830858
878.813387,16,59.968051
501.702678,6,60.025002
965.489299,21,60.216438
471.669964,7,60.288433
772.247835,20,60.452173
962.46809,16,60.598044
1149.12204,18,60.751451
825.869489,29,60.973828
751.801304,13,61.087281
850.2881,17,61.233274
790.822816,11,61.33107
1498.455797,25,61.592808
912.662255,19,61.761405
544.733455,16,61.883594
798.448045,23,62.069025
843.410084,16,62.20464
606.601526,15,62.326531
770.531975,20,62.493504
909.658737,21,62.670182
898.510241,26,62.884664
997.045697,19,63.053357
837.712216,10,63.140591
657.549223,14,63.258221
596.181996,6,63.314805
795.257752,16,63.458128
824.149408,19,63.612091
775.049872,12,63.73237
590.013097,9,63.821795
839.050714,13,63.948678
737.143827,13,64.107151
958.149466,28,64.345887
1088.972747,31,64.593171
696.419706,27,64.80209
710.595982,9,64.902112
759.090672,15,65.02428
815.181169,14,65.146654
1250.477568,18,65.312072
1323.577529,36,65.599524
1339.818924,31,65.852787
1742.377582,46,66.25995
781.423769,12,66.369637
995.08117,28,66.596104
1063.970323,23,66.805085
699.773835,10,66.895134
996.678497,24,67.098911
1091.336595,19,67.28437
639.415948,7,67.357037
937.699874,18,67.504899
833.960422,18,67.660518
751.251383,10,67.759684
797.289452,16,67.887815
675.117376,12,67.988483
798.130519,15,68.114213
912.949503,18,68.269245
749.426066,17,68.40889
834.461014,13,68.530335
654.194872,13,68.653851
699.381519,16,68.790307
676.293079,18,68.937661
844.807904,19,69.098313
580.185061,7,69.168299
937.766823,37,69.47845
803.559687,15,69.613301
647.362529,14,69.730582
888.200895,19,69.881404
938.549686,21,70.062952
946.477097,16,70.204885
901.734023,15,70.335227
657.831398,15,70.460569
717.687826,12,70.562769
900.030952,12,70.671286
635.661247,8,70.74518
689.251882,13,70.871369
1284.397688,33,71.141537
1015.005572,25,71.341467
1028.057423,24,71.533765
930.138179,24,71.723847
979.644124,18,71.881013
876.324154,19,72.066058
970.362073,14,72.214042
781.699199,16,72.354263
736.883964,11,72.472517
578.956549,8,72.552059
766.841902,14,72.680729
971.758263,23,72.892048
804.111301,18,73.040994
646.261201,9,73.131639
932.403058,19,73.311685
817.232295,18,73.468444
706.7482,11,73.572073
663.865505,13,73.682372
800.872698,12,73.786252
974.221831,28,74.001257
395.913013,6,74.058532
1277.588957,19,74.234843
1059.452836,14,74.385883
518.316662,9,74.483705
817.854259,17,74.646378
858.458683,21,74.830645
1008.226279,22,75.034675
849.059082,13,75.152287
732.600905,9,75.236566
934.229818,15,75.36787
847.864397,16,75.496957
854.934572,10,75.592005
1215.471369,23,75.784369
1053.743606,20,75.968594
844.612979,13,76.084592
897.558965,12,76.188019
730.470541,16,76.327137
1414.751908,30,76.576983
714.930252,16,76.714417
713.806545,10,76.806289
782.217647,13,76.93002
972.748421,21,77.09757
1344.710603,43,77.490736
1183.927584,29,77.732616
1001.061076,14,77.853989
1318.962448,19,78.023978
571.934323,12,78.131565
912.895527,19,78.287169
1222.10914,15,78.442384
779.883096,12,78.555697
1491.379536,24,78.777236
808.633063,23,78.956637
1146.431075,20,79.137266
1062.785142,19,79.307372
848.444807,14,79.435202
924.956013,29,79.715317
803.668184,11,79.814278
884.135124,16,79.948527
838.402278,19,80.115632
730.931829,17,80.261208
937.667276,22,80.455824
713.083817,11,80.548378
545.034922,7,80.610933
685.162843,18,80.780634
749.664308,9,80.866222
1058.746389,14,80.988928
1045.983429,19,81.151128
891.690322,26,81.350999
828.062183,15,81.484309
993.740839,16,81.633396
588.195941,9,81.707685
807.266419,17,81.853929
836.977465,16,82.004545
668.821502,6,82.060907
716.182377,13,82.178173
895.092746,25,82.3711
983.450748,24,82.57921
658.878251,11,82.687625
766.946716,13,82.791683
592.746664,12,82.896884
588.266531,7,82.957566
1041.171915,15,83.115615
877.932793,26,83.326798
1063.217604,21,83.498371
789.856446,12,83.605093
667.931481,10,83.692347
710.56179,15,83.81949
913.169205,21,83.990192
947.304071,28,84.234558
733.68055,10,84.323487
949.508663,28,84.536988
934.141434,13,84.674427
664.357803,10,84.770199
837.238694,15,84.898015
893.608006,11,85.003977
398.655357,4,85.045987
658.725231,14,85.170136
1201.342121,46,85.556628
814.870817,17,85.705703
747.034713,11,85.8039
693.20697,9,85.878831
804.996211,17,86.022105
719.096497,17,86.161066
1162.535352,21,86.33177
815.083267,15,86.457963
658.212984,15,86.595238
1192.479547,26,86.818511
663.921807,13,86.932538
739.882022,8,87.009859
537.698804,12,87.107708
930.579258,15,87.234694
785.824547,9,87.320403
986.326681,17,87.46502
552.165259,8,87.544648
1037.201807,26,87.774688
1133.044945,23,87.988682
739.97233,28,88.208462
813.396058,13,88.321506
625.013025,6,88.379263
1220.549208,22,88.566932
998.177256,20,88.738581
502.313197,9,88.813239
915.666906,15,88.957124
851.753488,17,89.104188
828.394085,21,89.272654
695.631756,8,89.348346
594.39541,6,89.404347
735.94225,23,89.574763
1063.040391,24,89.805042
537.620139,6,89.884317
881.325434,29,90.135095
917.139429,24,90.340094
911.977761,14,90.461786
988.704721,21,90.632029
636.427611,9,90.715061
819.607589,16,90.847107
899.680555,19,91.007413
625.374224,7,91.067123
665.371297,12,91.183784
674.067798,9,91.263505
784.131853,13,91.379028
569.35119,11,91.469072
768.694535,11,91.564895
593.506017,10,91.657363
802.68553,16,91.789594
942.697688,19,91.947827
806.588556,24,92.143454
950.217082,15,92.276072
869.41251,15,92.419674
997.590862,21,92.585279
867.328783,17,92.731424
791.671637,11,92.824124
466.229773,7,92.887222
584.880902,15,93.023524
729.251789,19,93.191156
741.562953,15,93.319369
875.619213,14,93.439033
725.35121,13,93.561034
722.180836,10,93.652638
1054.739478,18,93.806485
569.822406,6,93.858872
693.613702,17,94.000514
768.814805,10,94.093665
1237.622334,27,94.307307
728.269109,9,94.389681
745.940782,17,94.534549
611.818585,17,94.680068
1002.720217,22,94.878888
978.180369,22,95.0916
779.294668,11,95.195416
1144.600134,46,95.559323
757.369305,9,95.640627
729.119535,17,95.780754
642.2796,16,95.926894
1160.744601,23,96.136019
851.828292,19,96.298202
992.7089,17,96.446997
528.077773,6,96.5037
1072.731954,21,96.686742
826.063026,9,96.764155
944.657357,30,97.008455
1029.17889,25,97.226022
762.425962,15,97.35534
788.196249,11,97.457264
1093.755463,22,97.638515
626.273829,18,97.781461
872.38766,16,97.911189
857.981968,18,98.053337
733.250935,14,98.173345
702.719217,11,98.287754
569.532272,11,98.390733
590.704168,10,98.48948
709.99298,11,98.586607
761.093908,12,98.686161
819.294003,11,98.785384
906.994729,21,98.957764
660.365515,14,99.067412
518.127572,10,99.151313
714.24495,19,99.301585
876.170252,13,99.419197
653.226405,9,99.515221
728.746485,12,99.615191
816.67534,15,99.74648
603.7057,8,99.822195
759.159938,16,99.953478
1474.194063,43,100.314979
831.566617,13,100.431592
495.412018,10,100.531646
887.030921,10,100.63546
1260.694514,22,100.824806
589.834168,8,100.898756
934.822006,16,101.031398
985.605566,14,101.155333
505.829598,6,101.210968
663.370187,14,101.32658
911.758406,16,101.461192
718.52794,15,101.574836
938.942952,23,101.781479
818.089818,18,101.925396
1107.844958,33,102.18597
780.071588,14,102.305663
881.331005,21,102.47822
730.195476,17,102.621494
856.161473,13,102.735913
1403.580565,42,103.080993
744.483181,19,103.238887
730.920333,16,103.365865
835.220136,19,103.524915
1212.185495,39,103.864924
583.027563,11,103.97415
1192.605695,27,104.23929
797.097705,14,104.361047
802.261154,19,104.527381
608.949158,10,104.608941
546.481876,10,104.693267
911.621171,14,104.816478
642.601263,7,104.883134
796.400127,18,105.036026
892.34793,22,105.211393
809.970151,23,105.440929
1080.669768,34,105.717503
644.074827,10,105.804455
487.858376,4,105.845417
602.004893,6,105.908479
829.213706,15,106.042785
721.010939,11,106.14072
825.443134,18,106.295313
879.220115,16,106.435642
661.990622,11,106.547709
751.344507,22,106.715852
394.867908,5,106.765721
631.900059,8,106.834369
636.909276,8,106.910077
617.236946,10,106.99636
664.782282,7,107.054069
651.594939,9,107.139966
871.850629,18,107.290232
748.069116,16,107.436227
928.923613,29,107.662999
856.40409,16,107.813354
752.460816,11,107.908123
800.703949,11,108.004699
745.86528,14,108.126889
802.017194,21,108.286957
593.000514,11,108.379901
834.028204,14,108.498533
957.120438,16,108.633808
753.150759,7,108.70241
863.955202,12,108.801454
1025.271049,14,108.936646
932.556505,21,109.122941
1330.01448,28,109.37281
783.775926,18,109.518956
1088.000246,26,109.752343
616.83087,9,109.837348
954.275204,17,109.992978
500.720915,6,110.048032
680.351816,14,110.165685
887.472037,25,110.389245
750.980253,10,110.499979
936.376924,18,110.647747
765.31356,12,110.754153
692.66465,12,110.855844
646.056155,14,110.967726
906.31184,11,111.067621
791.618649,14,111.186326
718.82489,12,111.29026
617.316251,8,111.377002
921.398908,13,111.492531
1104.63947,24,111.697743
646.977847,12,111.796399
644.200679,9,111.873085
760.500239,15,112.004382
663.953911,11,112.104301
907.114734,12,112.21231
732.199698,24,112.416896
864.380285,16,112.571759
748.024636,10,112.660688
814.052337,9,112.742993
822.495746,18,112.882308
729.264992,11,112.981187
771.84805,13,113.089255
762.000482,16,113.219573
653.770314,12,113.321609
908.513919,36,113.591119
976.3114,21,113.77038
804.098204,11,113.870402
615.997636,8,113.94265
1094.782914,29,114.179935
600.590927,9,114.260227
735.798496,10,114.348516
725.612726,9,114.421218
1077.036323,31,114.669304
845.84653,11,114.76599
822.225387,16,114.930658
902.973764,15,115.07017
764.424565,12,115.16985
733.218801,10,115.258975
749.066228,15,115.383588
532.799661,9,115.461362
805.062176,15,115.586466
1089.709,36,115.898982
640.964566,4,115.943131
548.150015,5,116.002829
833.139315,17,116.152931
849.174588,15,116.282248
789.351178,21,116.441833
620.489663,8,116.505781
805.413751,7,116.578122
772.442448,13,116.683293
512.413186,6,116.74438
872.555426,20,116.909348
696.073215,12,117.013303
664.05598,9,117.095305
461.736875,5,117.149951
631.847175,6,117.205196
728.308364,10,117.297636
824.792688,19,117.46653
702.895227,11,117.570179
927.342439,18,117.72406
785.545761,10,117.81398
757.644821,18,117.957345
639.378813,11,118.048326
541.066125,17,118.186901
831.168101,14,118.318855
665.331886,14,118.440064
721.107351,7,118.506175
616.173801,14,118.616848
630.480793,8,118.681495
671.095984,8,118.757043
519.523212,5,118.806655
963.70219,35,119.081297
921.314059,16,119.216532
706.438804,16,119.343781
629.057531,10,119.423067
588.349838,8,119.50161
776.244437,20,119.67801
750.897067,11,119.77306
681.801871,8,119.846742
708.743711,11,119.94765
874.298288,13,120.057182
751.643689,11,120.166718
681.472013,20,120.33692
1101.672437,24,120.535697
1094.918505,28,120.779693
1033.098746,23,120.992337
607.54329,6,121.043197
813.639478,9,121.132555
461.931502,8,121.200687
655.493468,13,121.313877
652.495084,12,121.415935
746.951262,11,121.507754
612.197279,10,121.596108
697.257162,14,121.709716
936.088186,29,121.949917
644.490391,6,122.003889
778.543433,18,122.147926
818.477228,17,122.286445
818.559401,25,122.482082
1065.173498,21,122.65365
955.184715,13,122.773284
812.025712,21,122.937437
1415.917284,34,123.229819
878.805615,28,123.441572
596.469559,10,123.525741
616.798806,5,123.575782
800.411205,13,123.68577
802.762647,13,123.795341
1295.269747,37,124.091981
612.62832,10,124.175519
823.87865,17,124.324466
682.076505,13,124.444049
909.567596,17,124.587385
653.115112,16,124.714725
960.230906,20,124.886262
665.582778,17,125.020623
899.593489,17,125.16258
537.834076,4,125.198142
652.918013,9,125.278182
718.031346,16,125.407081
576.52486,7,125.482141
778.863974,22,125.681971
913.831303,20,125.845576
516.348323,6,125.899565
985.318399,16,126.047711
559.015606,8,126.130887
661.864897,9,126.215485
676.406114,8,126.289153
801.949877,14,126.404024
710.336415,13,126.514091
506.5993,7,126.572734
621.499217,10,126.668468
665.450895,9,126.741438
1114.664505,29,126.966817
835.135358,18,127.114101
855.745637,24,127.310803
729.403391,10,127.394172
674.556107,10,127.490993
863.054907,16,127.628379
747.633449,12,127.730374
631.5919,13,127.852058
944.662107,19,128.001895
825.287114,16,128.136191
1067.947697,20,128.295793
582.417405,7,128.356795
617.406134,9,128.430107
767.764428,10,128.520052
732.470453,11,128.61552
774.812271,12,128.717349
644.487155,14,128.830109
597.164241,3,128.863302
734.453669,14,128.99558
817.941771,18,129.135188
732.227373,12,129.237425
719.949344,12,129.337159
555.26068,8,129.405142
856.645811,18,129.541298
