#{"t_start": 1761893050.1675823, "env_id": "None"}
r,l,t
1174.26928,18,1.472787
1748.83161,30,2.184684
999.120569,15,2.659195
1256.155501,22,3.179569
1706.254467,29,3.845854
1313.263237,27,4.502901
1468.270851,24,5.079248
893.55322,17,5.461587
1322.324368,18,5.851491
1215.748227,25,6.439835
1397.344749,21,6.898277
1116.396358,24,7.431737
1205.163353,19,7.871258
1550.772163,33,8.619288
1027.395797,13,8.933715
1855.086272,31,9.692595
1158.764172,18,10.101311
1370.146406,22,10.630704
1434.384376,29,11.295772
1284.250464,23,11.865643
1225.495773,22,12.393183
894.618157,12,12.702636
1642.495842,31,13.461153
1033.780082,12,13.753079
1598.519062,22,14.273542
1250.844573,16,14.68975
1582.087035,27,15.297703
2103.302878,34,16.152034
1314.705962,19,16.639891
1490.063804,33,17.41846
1041.594009,14,17.732786
1561.729853,21,18.211367
1691.54144,28,18.877812
838.165062,13,19.21816
1245.269934,20,19.711172
853.991951,13,20.054724
1131.109044,15,20.415788
1446.330137,24,21.008874
1099.67189,18,21.477059
1494.729307,24,22.040999
1474.59961,24,22.621458
1033.473588,21,23.157019
1506.023362,29,23.930008
1364.336178,29,24.601853
1356.704621,23,25.145931
2009.432151,33,25.894619
1389.373325,25,26.460867
1861.496613,49,27.619811
1195.34807,24,28.244055
1210.992242,21,28.742618
1149.405308,17,29.148898
978.676616,20,29.645485
1122.044623,19,30.101758
865.032033,17,30.556493
1312.51946,21,31.098551
1688.359098,28,31.731652
1824.199045,41,32.744305
2200.690631,27,33.38269
1287.452022,25,34.007551
1322.683946,21,34.529597
1379.917211,27,35.151264
1866.833887,31,35.927658
1449.1366,23,36.497768
1039.272531,15,36.891764
1187.417586,22,37.478758
1473.253866,19,37.945629
640.811576,9,38.193061
1308.376218,24,38.757667
1222.407505,17,39.166568
1225.548221,19,39.619614
822.158302,19,40.122021
1217.467802,17,40.523946
1147.953168,15,40.851489
1790.436373,29,41.570471
1778.013749,30,42.299615
843.096218,14,42.676423
948.940404,15,43.03334
1108.18665,18,43.460658
1351.536147,25,44.039127
1064.57087,14,44.375795
1228.304576,20,44.868523
1933.091687,26,45.476398
1268.178806,17,45.938838
1176.582603,18,46.413736
1418.329083,25,47.101502
1066.75632,20,47.601602
920.100864,12,47.908854
951.20832,13,48.242414
1344.197874,25,48.882632
837.332182,11,49.18442
1062.499724,21,49.667871
1075.041974,18,50.101324
1513.508589,27,50.757655
1240.379654,26,111.169772
1023.41258,16,111.555551
1451.544805,23,112.101763
997.965875,24,112.653589
1259.843518,20,113.139292
1754.424242,42,114.122288
858.978322,20,114.585683
1693.794319,25,115.185004
1743.56692,41,116.182696
1474.147536,30,116.963994
1095.188457,22,117.533203
1069.517256,18,117.971173
1404.73363,22,118.50832
1322.518505,28,119.183494
845.910642,17,119.601745
1214.962439,23,120.154687
847.017732,13,120.460749
788.564538,9,120.667403
2070.296118,35,121.492462
1233.78103,34,122.336319
1253.420733,25,122.914277
1250.375252,20,123.414614
1227.761328,26,124.03932
987.51651,18,124.508971
843.218724,12,124.796014
1218.265518,26,125.416589
966.620872,15,125.789517
1756.568625,42,126.851284
1087.369152,17,127.241837
723.902023,9,127.445617
1794.888111,22,128.007763
1074.594438,17,128.430119
1850.28406,25,129.017749
1164.551935,18,129.460761
890.260829,9,129.703431
1550.568889,23,130.247823
1347.796969,24,130.797108
1001.752278,23,131.351713
1668.308842,20,131.850017
772.86454,14,132.219311
1025.224148,13,132.554878
1264.61335,31,133.303665
1415.387833,24,133.935316
806.287887,14,134.255627
970.484199,16,134.646759
1185.417059,22,135.177204
1544.165258,17,135.617505
1331.021397,18,136.110363
724.985453,12,136.387128
673.140409,8,136.574639
1995.2641,32,137.305328
931.084378,17,137.692976
1052.868649,13,138.00825
1302.002028,22,138.50796
743.375,12,138.810527
1637.020373,46,139.965831
767.377405,12,140.264355
1453.005182,24,140.842979
995.572294,14,141.176223
1450.081768,22,141.72278
1098.252086,25,142.344329
1319.895502,18,142.789473
1659.428824,35,143.655781
1164.914873,19,144.125747
1051.979567,19,144.570134
981.685208,15,144.930248
1478.683472,20,145.398104
2087.149572,31,146.190142
1578.895391,27,146.8236
1146.477116,24,147.382605
1039.899474,18,147.848431
727.356305,11,148.137284
872.826895,14,148.476816
956.584522,18,148.898494
760.744531,11,149.174665
1401.933276,21,149.673295
1424.2691,27,150.342374
1264.304137,22,150.867774
929.697651,13,151.189444
1651.183386,31,151.936943
769.690692,9,152.157025
1157.352993,23,152.703516
1460.017162,24,153.257848
1035.58029,16,153.640162
1501.466515,26,154.242085
1182.001644,18,154.664464
1431.451592,24,155.242356
997.311216,13,155.539091
2042.634915,30,156.253338
1486.017635,18,156.696502
805.165507,10,156.945217
1272.853321,23,157.523142
885.538873,21,158.039308
1204.963947,23,158.60151
940.355671,19,159.077118
1341.362259,21,159.586126
1335.626187,23,160.139945
558.670251,7,220.317539
-4095.667509,500,224.867346
