#{"t_start": 1742888363.1492255, "env_id": "None"}
r,l,t
765.731702,11,1.207585
856.665097,14,1.320339
743.524855,7,1.380352
1064.335474,25,1.598296
666.60474,16,1.723324
761.100613,18,1.865356
634.688114,9,1.940373
1329.409482,32,2.233431
838.664188,17,2.385904
694.921902,10,2.471932
932.230293,11,2.573333
608.290543,16,2.703362
899.146383,13,2.815386
977.312829,16,2.95983
883.886466,15,3.088859
705.992375,12,3.184882
781.449219,21,3.371511
691.677065,13,3.485536
749.667628,6,3.54655
981.677265,26,3.765564
840.223269,14,3.881591
946.563111,10,3.972613
785.324007,13,4.084636
688.328186,13,4.181658
726.220385,15,4.291682
719.675962,14,4.410271
805.92422,8,4.482285
870.260414,12,4.585308
856.055552,7,4.651325
570.913748,10,4.739023
864.072132,11,4.838046
880.288561,12,4.94507
819.616981,12,5.050334
1081.778398,18,5.208247
784.738713,11,5.293267
861.092599,13,5.406292
855.99081,21,5.582921
555.75199,16,5.703814
647.705723,17,5.839843
821.837404,22,6.013883
828.835435,14,6.151364
771.380009,9,6.232953
804.503867,11,6.328526
747.076329,13,6.43806
845.466085,32,6.682153
655.068979,14,6.793178
645.184833,7,6.842188
910.400102,13,6.954214
1037.40875,17,7.101246
721.520672,8,7.169329
974.921364,14,7.296358
695.837123,6,7.34337
579.983793,7,7.39438
1436.657985,23,7.605873
889.424291,6,7.670888
861.736486,14,7.79512
617.595625,12,7.889142
927.507089,4,7.92315
717.091887,12,8.020723
1023.442723,37,8.299786
891.940989,18,8.440897
1056.006999,17,8.588933
656.524673,9,8.655948
570.852926,12,8.746148
574.810405,12,8.836169
741.544106,25,9.029031
721.60277,17,9.168077
766.139242,23,9.353635
648.028314,10,9.438655
859.427443,5,9.481665
776.682455,9,9.554904
805.257043,5,9.596912
775.314776,11,9.686934
641.610039,7,9.740946
763.188205,9,9.821964
1098.248607,16,9.965028
877.843126,10,10.067588
747.946634,15,10.184614
552.550886,10,10.263632
667.684936,24,10.439235
908.125,17,10.587267
511.561412,11,10.670286
685.726434,16,10.801316
701.865837,14,10.932824
652.978647,17,11.068255
782.183506,12,11.169682
761.257011,6,11.231292
673.047059,10,11.316312
579.484703,13,11.420335
1107.931428,39,11.734493
822.2702,11,11.831514
887.0182,10,11.923535
1109.501376,22,12.108577
691.296631,12,12.204598
724.693185,7,12.266611
861.136764,13,12.397369
812.076353,19,12.56347
758.549906,11,12.650491
929.10715,7,12.717429
920.315812,15,12.841457
809.784457,15,12.958484
966.445629,15,13.094622
804.546102,5,13.137631
988.143377,15,13.280578
850.414567,12,13.394457
932.249891,8,13.481477
819.935602,12,13.597581
631.689535,7,13.650592
952.415404,16,13.811444
951.92922,16,13.975535
1103.06177,18,14.136001
844.984134,22,14.316041
1401.556561,22,14.510116
697.59785,12,14.612139
617.581535,9,14.687155
725.967262,20,14.848191
748.031364,7,14.903686
871.130238,26,15.11901
701.16352,26,15.339059
885.704499,24,15.542954
767.980113,14,15.66644
674.232287,9,15.740436
775.491165,6,15.7944
744.827147,21,15.971669
854.901701,7,16.036683
777.428388,12,16.144264
570.629328,19,16.302943
798.303972,20,16.464532
908.013222,19,16.619568
736.146215,8,16.689582
795.294452,25,16.884666
875.785347,15,17.025312
812.94069,12,17.128902
778.729632,7,17.189915
674.168914,15,17.318945
785.171096,6,17.370957
902.003085,4,17.406965
639.73808,14,17.517163
1008.105983,35,17.787781
978.146515,20,17.958819
603.527076,14,18.064842
867.909118,12,18.162975
603.755642,11,18.247994
1130.2139,21,20.549108
619.168573,8,20.615984
783.425584,13,20.7336
773.225564,11,20.823376
926.388643,15,20.944073
798.684709,9,21.023327
1160.503969,22,21.223729
704.230161,8,21.295259
850.906965,10,21.381527
711.231896,11,21.474207
752.719269,13,21.581319
1275.323207,21,21.768634
854.138946,11,21.865788
881.881572,8,21.944679
777.187293,11,22.049142
915.768188,19,22.214345
837.942166,13,22.32585
856.735006,6,22.379117
952.902488,10,22.469992
612.454086,19,22.613152
1049.087179,15,22.749463
964.810947,13,22.866075
698.516842,14,22.974713
678.842744,23,23.152663
778.87606,14,23.260319
638.863316,10,23.3484
692.651495,20,23.507931
670.256616,8,23.57251
902.181739,6,23.627551
1394.26247,29,23.882451
821.830455,18,24.034267
868.561475,18,24.185325
778.661985,14,24.290955
755.142125,11,24.373536
826.491473,14,24.485941
909.74982,15,24.617296
666.96232,10,24.695817
967.197213,34,24.985791
731.843821,13,25.096653
952.74219,27,25.326819
1111.861491,18,25.482872
681.860895,11,25.575794
771.066086,13,25.685675
1037.61301,14,25.823741
711.146152,8,25.893405
682.274121,14,26.00196
912.312735,8,26.075169
637.095213,11,26.16499
717.425693,15,26.27667
703.917911,13,26.394232
835.589872,11,26.489286
928.130373,22,26.675435
801.820754,7,26.733481
788.197741,24,26.919377
818.035264,14,27.028573
906.384197,7,27.090969
1105.88796,25,27.296155
1259.103479,24,27.511509
811.509844,15,27.631538
822.807817,22,27.815415
1097.85857,3,27.848072
541.303703,9,27.923921
812.876483,9,28.00734
894.017563,20,28.179449
691.858631,7,28.24056
978.038643,16,28.393418
657.965746,8,28.46029
1035.738808,15,28.595503
628.26454,15,28.705019
829.022344,8,28.776102
803.197109,15,28.903157
800.62366,5,28.944462
663.108667,16,29.063873
