#{"t_start": 1742565129.8357852, "env_id": "None"}
r,l,t
180.5,10,1.108872
173.5,6,1.132879
229.5,14,1.188536
419.166667,26,1.289558
167.5,6,1.31519
258.833333,11,1.362196
183.833333,9,1.399095
276.666667,17,1.462179
222.833333,10,1.506189
179.0,9,1.544198
507.833333,45,2.428123
169.166667,7,2.457129
248.5,10,2.499138
146.0,6,2.526145
175.166667,14,2.584431
357.166667,16,2.651447
265.166667,21,2.735465
220.5,13,2.793478
285.833333,14,3.875234
203.0,12,3.924245
304.166667,26,4.031381
308.666667,20,4.111398
259.166667,12,4.165489
248.166667,26,4.279515
362.333333,29,5.09906
201.666667,7,5.130191
192.333333,9,5.16736
312.5,21,5.247561
207.166667,8,5.279832
225.5,11,5.324622
273.833333,11,5.369367
133.0,8,5.4016
213.333333,10,5.441882
192.833333,7,5.471219
206.166667,10,5.510525
240.5,8,5.544482
271.833333,22,6.256591
243.333333,12,6.311603
498.166667,46,6.502181
262.166667,16,6.566195
309.166667,14,6.622219
270.833333,14,6.677219
213.5,10,6.71923
194.166667,6,6.743234
202.166667,13,7.932503
328.166667,20,8.039606
313.5,15,8.111623
340.0,19,8.192358
180.333333,14,8.253228
263.833333,18,8.327245
239.5,9,8.365253
195.833333,9,8.404263
229.5,22,9.055033
158.166667,9,9.132944
218.0,11,9.20296
177.0,8,9.237968
299.833333,22,9.329989
276.333333,17,9.411006
277.0,23,9.515031
232.833333,9,9.550041
225.666667,16,9.615053
290.666667,13,10.298006
254.5,11,10.343327
233.5,19,10.417343
236.5,14,10.474356
196.0,8,10.51062
291.666667,12,10.560631
276.166667,16,10.623645
208.0,11,10.671656
259.0,14,10.725668
209.666667,11,10.769679
185.0,10,11.352694
239.5,15,11.414709
314.833333,27,11.516732
290.166667,12,11.566742
194.333333,11,11.610752
198.0,11,11.654763
180.333333,12,11.701773
307.333333,24,11.796796
215.666667,12,12.621712
320.5,18,12.696729
245.5,32,12.820757
191.333333,14,12.879769
148.5,6,12.904777
223.833333,12,12.956813
165.5,11,13.001824
182.166667,12,13.052949
290.666667,26,13.985276
207.666667,13,14.040287
323.5,26,14.153312
193.833333,9,14.19132
201.5,8,14.227329
241.833333,9,14.264338
176.166667,11,14.309348
211.5,10,14.351356
270.333333,20,14.428329
206.166667,7,14.455335
391.666667,40,15.344065
316.0,21,15.423083
343.833333,27,15.535109
338.166667,18,15.606125
262.0,24,15.705148
181.0,7,16.512856
225.833333,22,16.607878
192.666667,9,16.644886
264.166667,20,16.72811
339.166667,27,16.837135
200.5,18,16.909151
256.5,7,16.93927
207.833333,12,16.990282
340.5,15,17.780688
305.5,21,17.862281
274.666667,13,17.919294
242.166667,16,17.983307
247.666667,34,18.130949
212.0,22,18.225689
222.5,18,18.31671
211.166667,12,19.235933
216.666667,20,19.320801
188.833333,9,19.360811
217.333333,12,19.412829
251.5,17,19.483846
271.833333,14,19.537857
192.5,10,19.577866
227.833333,21,19.665887
263.833333,11,19.710896
249.333333,11,20.376385
251.333333,17,20.444816
230.0,13,20.519909
178.333333,8,20.551285
313.833333,19,20.625665
324.0,31,20.746637
241.833333,15,20.808358
204.666667,8,20.839704
318.5,23,21.711646
275.0,18,21.783661
292.333333,13,21.838674
417.833333,33,21.963702
128.166667,5,21.986707
347.5,15,22.04937
259.833333,17,22.118385
213.166667,11,22.167871
293.833333,24,23.071584
229.333333,20,23.153452
358.333333,30,23.267474
313.166667,22,23.382151
149.5,7,23.414157
362.833333,36,24.309652
393.0,27,24.418206
173.0,12,24.467804
205.0,15,24.52638
170.0,7,24.556794
196.333333,8,24.594458
192.0,9,24.633438
231.666667,15,24.698673
280.0,19,24.774284
200.0,10,25.571589
191.0,10,25.616123
270.0,18,25.694777
183.5,8,25.728466
244.333333,11,25.773905
285.333333,14,25.834362
348.333333,21,25.937032
221.666667,10,25.977736
261.0,16,26.037878
352.0,36,26.760179
190.833333,10,26.803189
257.166667,18,26.878206
258.0,20,26.956223
199.833333,14,27.013235
166.166667,17,27.084251
223.333333,11,27.133262
195.166667,9,27.171271
371.5,28,27.843118
219.666667,15,27.904669
294.333333,16,27.975685
234.333333,14,28.032698
324.666667,16,28.103843
166.833333,8,28.139851
231.333333,13,28.193863
195.666667,9,28.230871
271.5,21,28.950385
244.833333,15,29.013394
227.166667,11,29.063084
174.5,6,29.088809
187.166667,12,29.138804
244.166667,14,29.197061
210.333333,11,29.240925
256.333333,12,29.287798
202.666667,11,29.336806
261.5,13,29.391731
213.666667,15,29.449638
237.833333,23,30.014286
326.5,19,30.091924
459.666667,44,30.258062
250.5,15,30.315411
407.333333,31,30.439368
185.0,7,31.546007
239.166667,14,31.600313
206.333333,10,31.665364
281.666667,14,31.730339
285.833333,20,31.805788
276.333333,12,31.854664
216.166667,15,31.918286
239.666667,11,31.965608
195.0,19,32.04502
292.666667,12,32.646274
280.0,12,32.695284
228.166667,12,32.741295
138.0,6,32.7663
238.5,13,32.814312
316.833333,24,32.908333
192.5,8,32.94134
203.0,15,33.002352
168.166667,5,33.024359
296.333333,19,33.102512
147.0,6,33.129516
163.5,6,33.852576
237.333333,13,33.914588
250.833333,9,33.949598
177.5,3,33.9626
298.166667,17,34.05362
246.5,16,34.119635
377.5,24,34.226052
269.166667,13,34.282064
287.333333,13,34.337078
319.5,20,35.024025
236.666667,12,35.075035
208.333333,8,35.108043
581.5,52,35.314879
196.833333,12,35.364889
300.5,16,35.429017
303.5,16,35.492031
219.666667,9,35.528039
215.5,14,36.902964
142.333333,9,36.943974
276.5,18,37.01499
250.833333,12,37.067073
202.5,12,37.116086
235.0,11,37.163471
225.5,11,37.220291
306.5,26,37.336317
293.333333,17,38.109542
280.0,29,38.220957
299.833333,15,38.28609
289.5,14,38.349216
234.166667,13,38.406574
236.0,25,38.506487
196.166667,15,38.566757
293.5,16,38.628592
172.333333,8,39.466019
296.166667,15,39.528246
240.166667,16,39.59426
146.666667,6,39.618267
241.166667,14,39.670278
459.5,39,39.822496
241.333333,12,39.890167
190.5,6,39.914172
201.5,9,39.951179
306.5,18,40.967388
241.0,14,41.0264
344.166667,30,41.148427
244.333333,16,41.213442
234.166667,16,41.277844
175.833333,5,41.297848
362.833333,26,41.399369
258.0,13,42.228185
309.5,9,42.270553
417.0,22,42.359573
293.333333,17,42.427635
516.5,59,42.659593
191.333333,13,42.710604
199.5,9,44.070234
272.0,15,44.154706
158.5,10,44.230011
252.666667,12,44.290024
268.666667,16,44.35514
220.0,10,44.398149
334.166667,22,44.48917
187.833333,7,44.521177
254.666667,13,44.57719
434.0,49,45.368431
462.666667,46,45.545765
259.5,16,45.612779
354.0,19,45.686797
221.333333,14,46.784348
204.0,12,46.83436
200.0,14,46.894374
260.666667,15,46.956389
217.333333,18,47.052036
143.5,5,47.075041
209.0,14,47.134054
297.833333,22,47.223275
242.666667,14,47.281288
219.0,11,47.3293
235.333333,13,48.010569
210.333333,11,48.057579
310.0,28,48.173203
228.833333,9,48.208212
350.166667,29,48.323238
317.5,30,48.442265
208.0,9,48.478272
230.333333,17,49.386964
281.666667,15,49.448358
247.333333,13,49.503736
244.5,13,49.561814
285.0,21,49.658996
523.0,53,50.993926
201.5,9,51.027575
324.0,20,51.108846
209.166667,9,51.151058
286.166667,16,51.216659
248.166667,19,51.290524
298.0,28,51.399825
356.166667,29,52.242988
208.666667,14,52.306001
227.333333,13,52.360015
227.166667,12,52.411026
314.5,27,52.518996
301.5,31,52.656484
207.5,6,52.685493
193.833333,6,52.7105
232.5,10,52.76151
232.0,25,53.700547
255.833333,10,53.741557
208.666667,8,53.775686
277.833333,26,53.876709
228.833333,15,53.935722
187.5,8,53.966728
202.5,11,54.009738
190.333333,7,54.037745
238.333333,17,54.10676
225.166667,10,54.910879
293.0,17,54.982999
166.0,11,55.028458
234.333333,10,55.07065
200.0,11,55.121661
234.833333,14,55.177673
228.0,18,55.256236
244.166667,18,55.331606
305.833333,17,55.400809
220.166667,11,55.964987
267.166667,17,56.033003
317.0,26,56.154162
337.5,19,56.23455
213.333333,7,56.266379
273.333333,20,56.350054
128.833333,9,56.391062
171.5,7,56.42507
135.0,3,56.441087
356.333333,29,57.304779
196.833333,8,57.338789
147.0,6,57.367795
254.166667,13,57.422441
208.0,25,57.519583
315.833333,19,57.601608
